Adult Summary,Run Date: 01/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASELLE HATCHERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 01/01/2007 - 01/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Brood,Adults In,Jacks In,Male Plant,Female Plant,Jack Plant,Adult Ship,Male Ship,Female Ship,Jack Ship,Male Morts,Female Morts,Jack Morts,Male Surplus,Female Surplus,Jack Surplus,Lethal Male Spawn,Lethal Female Spawn,Lethal Jack Spawn,Lethal NVF Spawn,Live Male Spawn,Live Female Spawn,Live Jack Spawn,Live NVF Spawn,Egg Count,Adults On Hand,Jacks On Hand,Mark Info,Other Mark,Checked for Wire,Wire Present,Wire Collected,CWT Detected Males,CWT Detected Females,CWT Detected Jacks,CWT Collected Males,CWT Collected Females,CWT Collected Jacks,Bag Number
01/24/2011,CO:LA:NASE:2010:H,0,0,,,,,,,,,,,,,,,,,,,,,,8800,68,0,,,N,N,N,,,,,,,
01/24/2011,CO:LA:NASE:2010:H,0,0,,,,,,,,6,4,0,,,,4,4,0,0,,,,,,50,0,AD,,Y,N,N,,,,,,,
01/24/2011,SH:WI:NASE:2011:H,0,0,,,,,,,,1,0,0,8,3,0,,,,,,,,,,38,0,AD,,Y,N,N,,,,,,,
02/03/2011,CO:LA:NASE:2010:H,0,0,,,,,,,,5,3,0,12,0,0,,,,,,,,,,18,0,AD,,Y,N,N,,,,,,,
02/03/2011,SH:WI:NASE:2011:H,0,0,,,,,,,,,,,10,8,0,,,,,,,,,,0,0,AD,,Y,N,N,,,,,,,
08/31/2011,CK:FA:NASE:2011:H,3,0,,,,,,,,,,,,,,,,,,,,,,,3,0,,,N,N,N,,,,,,,
08/31/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,0,1,0,,,,,,,,,,,,,2,0,AD,,Y,N,N,,,,,,,
09/07/2011,CK:FA:NASE:2011:H,15,2,,,,,,,,,,,,,,,,,,,,,,,17,2,,,N,N,N,,,,,,,
09/07/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,1,0,0,,,,,,,,,,,,,16,2,AD,,Y,N,N,,,,,,,
09/16/2011,CK:FA:NASE:2011:H,150,2,,,,,,,,,,,,,,,,,,,,,,,166,4,,,N,N,N,,,,,,,
09/17/2011,CK:FA:NASE:2011:H,800,5,,,,,,,,,,,,,,,,,,,,,,,966,9,,,N,N,N,,,,,,,
09/19/2011,CK:FA:NASE:2011:H,0,0,568,368,7,,,,,11,12,0,2,0,0,1,5,0,1,,,,,,-2,2,AD,,Y,N,N,,,,,,,
09/19/2011,CK:FA:NASE:2011:M,0,0,,,,,,,,,,,,,,,,,,,,,,24000,-2,2,,,N,N,N,,,,,,,
09/19/2011,CK:FA:NASE:2011:W,11,0,,,,,,,,,,,,,,,,,,,,,,,9,2,,,N,N,N,,,,,,,
09/19/2011,CK:FA:NASE:2011:W,0,0,,,,,,,,3,0,0,,,,7,1,0,0,,,,,,-2,2,UM,,Y,N,N,,,,,,,
09/19/2011,CO:NA:NASE:2011:H,5,0,,,,,,,,,,,,,,,,,,,,,,,3,2,,,N,N,N,,,,,,,
09/19/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,0,5,0,,,,,,,,,,,,,-2,2,AD,,Y,N,N,,,,,,,
09/20/2011,CK:FA:NASE:2011:H,1003,2,,,,,,,,,,,,,,,,,,,,,,,1001,4,,,N,N,N,,,,,,,
09/20/2011,CK:FA:NASE:2011:H,0,0,527,460,2,,,,,2,9,0,,,,1,2,0,4,,,,,,-4,2,AD,,Y,N,N,,,,,,,
09/20/2011,CK:FA:NASE:2011:M,0,0,,,,,,,,,,,,,,,,,,,,,,8000,-4,2,,,N,N,N,,,,,,,
09/20/2011,CK:FA:NASE:2011:W,42,0,,,,,,,,,,,,,,,,,,,,,,,38,2,,,N,N,N,,,,,,,
09/20/2011,CK:FA:NASE:2011:W,0,0,32,10,0,,,,,,,,,,,,,,,,,,,,-4,2,UM,,Y,N,N,,,,,,,
09/20/2011,CO:NA:NASE:2011:H,44,0,,,,,,,,,,,,,,,,,,,,,,,40,2,,,N,N,N,,,,,,,
09/20/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,4,37,0,,,,,,,,,,,,,-1,2,AD,,Y,N,N,,,,,,,
09/20/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,1,2,0,,,,,,,,,,,,,-4,2,AD,,Y,Y,Y,1,2,0,1,2,0,46630
09/26/2011,CK:FA:NASE:2011:H,0,0,217,165,0,,,,,2,3,0,,,,5,19,0,0,,,,,,-415,2,AD,,Y,N,N,,,,,,,
09/26/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,0,1,0,,,,,,,,,,,,,-416,2,AD,,Y,Y,Y,0,1,0,0,1,0,46629
09/26/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,1,0,0,,,,,,,,,,,,,-417,2,UM,,Y,Y,Y,1,0,0,1,0,0,46629
09/26/2011,CK:FA:NASE:2011:M,0,0,,,,,,,,,,,,,,,,,,,,,,96000,-417,2,,,N,N,N,,,,,,,
09/26/2011,CK:FA:NASE:2011:W,26,0,,,,,,,,,,,,,,,,,,,,,,,-391,2,,,N,N,N,,,,,,,
09/26/2011,CK:FA:NASE:2011:W,0,0,,,,,,,,2,0,0,,,,19,5,0,0,,,,,,-417,2,UM,,Y,N,N,,,,,,,
09/26/2011,CO:NA:NASE:2011:H,34,0,,,,,,,,,,,,,,,,,,,,,,,-383,2,,,N,N,N,,,,,,,
09/26/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,5,28,0,,,,,,,,,,,,,-416,2,AD,,Y,N,N,,,,,,,
09/26/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,0,1,0,,,,,,,,,,,,,-417,2,AD,,Y,Y,Y,0,1,0,0,1,0,46628
09/26/2011,CO:NA:NASE:2011:W,1,0,,,,,,,,,,,,,,,,,,,,,,,-416,2,,,N,N,N,,,,,,,
09/26/2011,CO:NA:NASE:2011:W,0,0,,,,,,,,0,1,0,,,,,,,,,,,,,-417,2,UM,,Y,N,N,,,,,,,
09/27/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,10,13,0,,,,,,,,,,,,,-440,2,AD,,Y,N,N,,,,,,,
09/27/2011,CO:NA:NASE:2011:H,2671,4,,,,,,,,,,,,,,,,,,,,,,,2231,6,,,N,N,N,,,,,,,
09/27/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,6,14,0,1364,1236,4,,,,,,,,,,-389,2,AD,,Y,N,N,,,,,,,
09/27/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,,,,24,27,0,,,,,,,,,,-440,2,AD,,Y,Y,Y,24,27,0,24,27,0,46627
09/27/2011,CO:NA:NASE:2011:W,3,1,,,,,,,,,,,,,,,,,,,,,,,-437,3,,,N,N,N,,,,,,,
09/27/2011,CO:NA:NASE:2011:W,0,0,,,,,,,,,,,2,1,1,,,,,,,,,,-440,2,UM,,Y,N,N,,,,,,,
09/28/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,6,12,0,,,,,,,,,,,,,-458,2,AD,,Y,N,N,,,,,,,
09/28/2011,CK:FA:NASE:2011:W,5,0,,,,,,,,,,,,,,,,,,,,,,,-453,2,,,N,N,N,,,,,,,
09/28/2011,CK:FA:NASE:2011:W,0,0,,,,,,,,1,4,0,,,,,,,,,,,,,-458,2,UM,,Y,N,N,,,,,,,
09/28/2011,CO:NA:NASE:2011:H,26,0,,,,,,,,,,,,,,,,,,,,,,,-432,2,,,N,N,N,,,,,,,
09/28/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,21,5,0,,,,,,,,,,,,,-458,2,AD,,Y,N,N,,,,,,,
09/28/2011,CO:NA:NASE:2011:W,1,0,,,,,,,,,,,,,,,,,,,,,,,-457,2,,,N,N,N,,,,,,,
09/28/2011,CO:NA:NASE:2011:W,0,0,,,,,,,,1,0,0,,,,,,,,,,,,,-458,2,UM,,Y,N,N,,,,,,,
09/30/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,29,12,0,55,0,0,12,50,2,8,,,,,,-624,0,AD,,Y,N,N,,,,,,,
09/30/2011,CK:FA:NASE:2011:M,0,0,,,,,,,,,,,,,,,,,,,,,,256000,-624,0,,,N,N,N,,,,,,,
09/30/2011,CK:FA:NASE:2011:W,66,0,,,,,,,,,,,,,,,,,,,,,,,-558,0,,,N,N,N,,,,,,,
09/30/2011,CK:FA:NASE:2011:W,0,0,,,,,,,,2,0,0,,,,50,14,0,0,,,,,,-624,0,UM,,Y,N,N,,,,,,,
09/30/2011,CO:NA:NASE:2011:H,11,0,,,,,,,,,,,,,,,,,,,,,,,-613,0,,,N,N,N,,,,,,,
09/30/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,9,2,0,,,,,,,,,,,,,-624,0,AD,,Y,N,N,,,,,,,
09/30/2011,CO:NA:NASE:2011:W,1,0,,,,,,,,,,,,,,,,,,,,,,,-623,0,,,N,N,N,,,,,,,
09/30/2011,CO:NA:NASE:2011:W,0,0,,,,,,,,0,1,0,,,,,,,,,,,,,-624,0,UM,,Y,N,N,,,,,,,
10/01/2011,CK:FA:NASE:2011:H,4,0,,,,,,,,,,,,,,,,,,,,,,,-620,0,,,N,N,N,,,,,,,
10/01/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,4,0,0,,,,,,,,,,,,,-624,0,AD,,Y,N,N,,,,,,,
10/01/2011,CK:FA:NASE:2011:W,1,0,,,,,,,,,,,,,,,,,,,,,,,-623,0,,,N,N,N,,,,,,,
10/01/2011,CK:FA:NASE:2011:W,0,0,,,,,,,,1,0,0,,,,,,,,,,,,,-624,0,UM,,Y,N,N,,,,,,,
10/01/2011,CO:NA:NASE:2011:H,5,0,,,,,,,,,,,,,,,,,,,,,,,-619,0,,,N,N,N,,,,,,,
10/01/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,4,1,0,,,,,,,,,,,,,-624,0,AD,,Y,N,N,,,,,,,
10/01/2011,CO:NA:NASE:2011:W,7,0,,,,,,,,,,,,,,,,,,,,,,,-617,0,,,N,N,N,,,,,,,
10/02/2011,CK:FA:NASE:2011:H,688,0,,,,,,,,,,,,,,,,,,,,,,,71,0,,,N,N,N,,,,,,,
10/05/2011,CK:FA:NASE:2011:H,389,5,,,,,,,,,,,,,,,,,,,,,,,460,5,,,N,N,N,,,,,,,
10/05/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,,,,221,99,5,22,42,0,0,,,,,,76,0,AD,,Y,N,N,,,,,,,
10/05/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,,,,3,1,0,,,,,,,,,,72,0,AD,,Y,Y,Y,3,1,0,3,1,0,46632
10/05/2011,CK:FA:NASE:2011:H,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,71,0,UM,,Y,Y,Y,1,0,0,1,0,0,46632
10/05/2011,CK:FA:NASE:2011:M,0,0,,,,,,,,,,,,,,,,,,,,,,256000,71,0,,,N,N,N,,,,,,,
10/05/2011,CK:FA:NASE:2011:W,77,0,,,,,,,,,,,,,,,,,,,,,,,148,0,,,N,N,N,,,,,,,
10/05/2011,CK:FA:NASE:2011:W,0,0,,,,,,,,,,,13,0,0,42,22,0,0,,,,,,71,0,UM,,Y,N,N,,,,,,,
10/05/2011,CO:NA:NASE:2011:H,1933,61,,,,,,,,,,,,,,,,,,,,,,,2004,61,,,N,N,N,,,,,,,
10/05/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,,,,837,1001,59,,,,,,,,,,166,2,AD,,Y,N,N,,,,,,,
10/05/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,,,,47,44,2,,,,,,,,,,75,0,AD,,Y,Y,Y,47,44,2,47,44,2,46641
10/05/2011,CO:NA:NASE:2011:H,0,0,,,,,,,,,,,2,2,0,,,,,,,,,,71,0,UM,,Y,Y,Y,2,2,0,2,2,0,46641
10/05/2011,CO:NA:NASE:2011:W,27,0,,,,,,,,,,,,,,,,,,,,,,,98,0,,,N,N,N,,,,,,,
10/05/2011,CO:NA:NASE:2011:W,0,0,12,15,0,,,,,,,,,,,,,,,,,,,,71,0,UM,,Y,N,N,,,,,,,
